Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Riu_de_Tristaina Riu_de_Tristaina NULL 42.61667 1.55 STM 0
Pic_de_Tristaina Pic_de_Tristaina Pic_de_Triatagne,Pic_de_Tristagne,Pic_de_Tristaina,Pic_des_Tri-Stagnes,Tristaina 42.65265 1.49242 PK 0
Clot_de_Tres_Torrents Clot_de_Tres_Torrents NULL 42.53333 1.53333 RVN 0
Bony_de_Tres_Corts Bony_de_Tres_Corts NULL 42.53333 1.53333 SPUR 0
Canal_dels_Trèmols Canal_dels_Tremols NULL 42.5 1.48333 STM 0
Travenc Travenc NULL 42.6 1.68333 LCTY 0
Pleta_de_la_Trava Pleta_de_la_Trava NULL 42.48333 1.61667 GRAZ 0
Coll_de_la_Trava Coll_de_la_Trava NULL 42.48333 1.46667 SPUR 0
Canal_de_la_Trava Canal_de_la_Trava NULL 42.56667 1.53333 RVN 0
Bosc_de_la_Trava Bosc_de_la_Trava NULL 42.48333 1.63333 FRST 0
Font_dels_Traginers Font_dels_Traginers NULL 42.43333 1.51667 SPNG 0
Pla_de_les_Toves Pla_de_les_Toves NULL 42.46667 1.45 UPLD 0
Torrent_del_Tossalroi Torrent_del_Tossalroi NULL 42.46667 1.51667 STM 0
Tossal_Gran Tossal_Gran NULL 42.48333 1.48333 LCTY 0
Tossalet_i_Vinyals Tossalet_i_Vinyals NULL 42.48333 1.48333 LCTY 0
Bosc_del_Tossal_de_les_Poselles Bosc_del_Tossal_de_les_Poselles NULL 42.53333 1.5 FRST 0
Tossal Tossal NULL 42.46667 1.48333 LCTY 0
Tosquers Tosquers NULL 42.56667 1.48333 SLP 0
Canal_del_Tosquer Canal_del_Tosquer NULL 42.56667 1.51667 STM 0
Bosc_del_Tosquer Bosc_del_Tosquer NULL 42.56667 1.53333 FRST 0
Bosc_del_Tosquer Bosc_del_Tosquer NULL 42.53333 1.6 FRST 0
Bosc_de_la_Tosca Bosc_de_la_Tosca NULL 42.43333 1.45 FRST 0
Tosa_d’Incles Tosa_d'Incles NULL 42.58333 1.68333 ADMD 0
Cap_de_Tosa_d’Entor Cap_de_Tosa_d'Entor NULL 42.6 1.65 PK 0
Tosa_de_les_Mussoles Tosa_de_les_Mussoles NULL 42.61667 1.68333 LCTY 0
