Id_Zona Latitud Longitud Codi_Pais Nom_Pais
3 36.77499400 5.10222100 AG Algeria
3 36.76916500 5.10250000 AG Algeria
3 36.76332900 5.10027700 AG Algeria
3 36.73883800 5.08312900 AG Algeria
3 36.73555000 5.07972100 AG Algeria
3 36.73082700 5.07777700 AG Algeria
3 36.72527300 5.07805500 AG Algeria
3 36.72083300 5.08027700 AG Algeria
3 36.71249400 5.08694400 AG Algeria
3 36.70916000 5.09111000 AG Algeria
3 36.69999700 5.10694400 AG Algeria
3 36.67499500 5.15611100 AG Algeria
3 36.66971600 5.16777700 AG Algeria
3 36.66082800 5.19500000 AG Algeria
3 36.64804800 5.23694400 AG Algeria
3 36.64611100 5.24416600 AG Algeria
3 36.64472200 5.25250000 AG Algeria
3 36.64027400 5.29944400 AG Algeria
3 36.64027400 5.32805500 AG Algeria
3 36.65305300 5.42444400 AG Algeria
3 36.66532100 5.43650100 AG Algeria
3 36.66333000 5.45944400 AG Algeria
3 36.66416200 5.46583300 AG Algeria
3 36.69249700 5.52916600 AG Algeria
3 36.69583100 5.53361000 AG Algeria
3 36.71360800 5.54777700 AG Algeria
3 36.73388700 5.56027700 AG Algeria
3 36.74333200 5.56722200 AG Algeria
3 36.76110800 5.58138800 AG Algeria
3 36.76777600 5.59027800 AG Algeria
3 36.77304800 5.60027700 AG Algeria
3 36.81971700 5.69916600 AG Algeria
3 36.82416500 5.70999900 AG Algeria
3 36.83222200 5.73944400 AG Algeria
3 36.83332800 5.74555500 AG Algeria
3 36.83471700 5.76611000 AG Algeria
3 36.83305400 5.77444400 AG Algeria
3 36.83027600 5.77972200 AG Algeria
3 36.82249500 5.78722200 AG Algeria
3 36.82000000 5.79361100 AG Algeria
3 36.81333200 5.81194400 AG Algeria
3 36.81277500 5.81944400 AG Algeria
3 36.81638300 5.86694400 AG Algeria
3 36.83777600 6.00000000 AG Algeria
3 36.84166000 6.01861100 AG Algeria
3 36.84527600 6.03000000 AG Algeria
3 36.89222000 6.16444400 AG Algeria
3 36.91360500 6.23333300 AG Algeria
3 36.91693900 6.23777800 AG Algeria
3 36.92388200 6.24666600 AG Algeria
3 36.94610600 6.26305500 AG Algeria
3 36.95138500 6.26472200 AG Algeria
3 36.96611000 6.25999900 AG Algeria
3 36.97083300 6.25777700 AG Algeria
3 36.97805000 6.24916600 AG Algeria
3 36.98305500 6.24805500 AG Algeria
3 37.01860800 6.26833200 AG Algeria
3 37.02194200 6.27277800 AG Algeria
3 37.08027600 6.36166600 AG Algeria
3 37.08332800 6.37222200 AG Algeria
3 37.08638800 6.39833300 AG Algeria
3 37.09138500 6.46472200 AG Algeria
3 37.08833300 6.47861100 AG Algeria
3 37.08138300 6.49861000 AG Algeria
3 37.07527200 6.50916600 AG Algeria
3 37.06944300 6.51805500 AG Algeria
3 37.06221800 6.52666700 AG Algeria
3 37.04499800 6.54194400 AG Algeria
3 37.00833100 6.57361000 AG Algeria
3 37.00249500 6.57111100 AG Algeria
3 36.99749800 6.57249900 AG Algeria
3 36.98416100 6.58000000 AG Algeria
3 36.97999600 6.58333300 AG Algeria
3 36.97361000 6.59277700 AG Algeria
3 36.88499500 6.91277700 AG Algeria
